Flop,Hand,Weight IP,Matchups,IP Equity,IP EV,IP EQR,BET 1101 freq,BET 1101 EV,BET 875 freq,BET 875 EV,BET 438 freq,BET 438 EV,CHECK freq,CHECK EV
Tc 8c 5d,KdJd,1,177047109,29.800871,482.073975,92.437178382,1.4796142279,480.563232,38.09701671,483.030975,41.024422507,481.370239,19.398946556,481.79657
Tc 8c 5d,KdQd,1,176201312,30.7656139,450.18988,83.616520976,5.531640937,445.82782,63.527905386,450.809875,15.062986962,449.590668,15.877466715,449.795807
Tc 8c 5d,KdJh,0.219999999,38915.4375,26.3352126,382.098297,82.908722749,0,380.543427,44.013328506,382.744812,48.237737987,381.501801,7.7489335066,382.136383
Tc 8c 5d,KdQh,0.764999986,134420016,27.2883266,341.694672,71.552243253,0,340.943268,48.164792141,342.297943,40.989281785,340.990509,10.845926074,341.674896
Tc 8c 5d,KdJs,0.219999999,38915.4375,26.3352126,382.098358,82.908735985,0,380.543335,44.013416421,382.744812,48.237675094,381.501801,7.7489084844,382.136353
Tc 8c 5d,KdQs,0.764999986,134420031,27.2883296,341.694702,71.552241669,0,340.943207,48.16477171,342.298065,40.989342518,340.990509,10.845885772,341.674896
Tc 8c 5d,AdJc,0.720000029,125508211,38.5883957,469.000305,69.45097598,0.72236637067,468.269409,55.204717156,469.662384,37.465077189,468.052368,6.607839284,468.918213
Tc 8c 5d,AdQc,1,173080141,40.7271564,448.378723,62.910459701,0.7268748745,447.737823,50.763456124,448.983734,33.973938895,447.575897,14.535730107,448.172699
Tc 8c 5d,AdKc,1,173923406,41.9251055,470.862915,64.177422966,0.93190635843,470.039856,49.99069648,471.400208,27.623253475,470.062378,21.454143686,470.676483
Tc 8c 5d,AdAc,1,168526141,79.4164658,1712.14563,123.19472059,0.42956359919,1711.60718,45.370774015,1713.10925,37.750427198,1711.08582,16.449235187,1711927
